[2025-06-16 19:04:18] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-06-16 19:04:18] [INFO    ] discord.gateway: Shard ID None has connected to Gateway (Session ID: 4cbc24f3da82febe468a4765e43209f1).
[2025-06-16 19:04:18] [DEBUG   ] discord.client: Dispatching event connect
[2025-06-16 19:04:18] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'GUILD_CREATE', 's': 2, 'op': 0, 'd': {'preferred_locale': 'en-US', 'stickers': [], 'max_members': 500000, 'public_updates_channel_id': None, 'home_header': None, 'profile': None, 'rules_channel_id': None, 'moderator_reporting': None, 'vanity_url_code': None, 'max_stage_video_channel_users': 50, 'soundboard_sounds': [], 'members': [{'user': {'username': 'tanyafinwiz', 'public_flags': 0, 'primary_guild': None, 'id': '1383826608405614593', 'global_name': None, 'display_name': None, 'discriminator': '6952', 'collectibles': None, 'bot': True, 'avatar_decoration_data': None, 'avatar': None}, 'roles': ['1383834161923489836'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-06-15T15:42:54.674000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}], 'afk_timeout': 300, 'roles': [{'version': 1750002079024, 'unicode_emoji': None, 'tags': {}, 'position': 0, 'permissions': '2248473465835073', 'name': '@everyone', 'mentionable': False, 'managed': False, 'id': '1383833760432132279', 'icon': None, 'hoist': False, 'flags': 0, 'colors': {'tertiary_color': None, 'secondary_color': None, 'primary_color': 0}, 'color': 0}, {'version': 1750004521481, 'unicode_emoji': None, 'tags': {'bot_id': '1383826608405614593'}, 'position': 2, 'permissions': '563242280021056', 'name': 'finwiz', 'mentionable': False, 'managed': True, 'id': '1383834161923489836', 'icon': None, 'hoist': False, 'flags': 0, 'colors': {'tertiary_color': None, 'secondary_color': None, 'primary_color': 0}, 'color': 0}, {'version': 1750004521867, 'unicode_emoji': None, 'tags': {}, 'position': 1, 'permissions': '0', 'name': 'engineer', 'mentionable': False, 'managed': False, 'id': '1383843892092211301', 'icon': None, 'hoist': False, 'flags': 0, 'colors': {'tertiary_color': None, 'secondary_color': None, 'primary_color': 15105570}, 'color': 15105570}], 'nsfw_level': 0, 'id': '1383833760432132279', 'premium_tier': 0, 'name': 'finwiz war_room', 'afk_channel_id': None, 'discovery_splash': None, 'threads': [], 'application_command_counts': {}, 'hub_type': None, 'description': None, 'icon': None, 'voice_states': [], 'system_channel_id': '1383833761094963202', 'premium_features': None, 'channels': [{'version': 1750002079050, 'type': 4, 'position': 0, 'permission_overwrites': [], 'name': 'Text Channels', 'id': '1383833761094963200', 'flags': 0}, {'version': 1750002079060, 'type': 4, 'position': 0, 'permission_overwrites': [], 'name': 'Voice Channels', 'id': '1383833761094963201', 'flags': 0}, {'version': 1750002079078, 'type': 0, 'topic': None, 'rate_limit_per_user': 0, 'position': 0, 'permission_overwrites': [], 'parent_id': '1383833761094963200', 'name': 'general', 'last_message_id': '1384141386491887716', 'id': '1383833761094963202', 'icon_emoji': {'name': '👋', 'id': None}, 'flags': 0}, {'version': 1750002079104, 'user_limit': 0, 'type': 2, 'rtc_region': None, 'rate_limit_per_user': 0, 'position': 0, 'permission_overwrites': [], 'parent_id': '1383833761094963201', 'name': 'General', 'last_message_id': None, 'id': '1383833761094963203', 'icon_emoji': {'name': '🎙', 'id': None}, 'flags': 0, 'bitrate': 64000}], 'large': False, 'nsfw': False, 'joined_at': '2025-06-15T15:42:54.674000+00:00', 'premium_subscription_count': 0, 'presences': [], 'application_id': None, 'inventory_settings': None, 'default_message_notifications': 0, 'emojis': [], 'mfa_level': 0, 'lazy': True, 'explicit_content_filter': 0, 'max_video_channel_users': 25, 'system_channel_flags': 0, 'activity_instances': [], 'safety_alerts_channel_id': None, 'stage_instances': [], 'region': 'deprecated', 'guild_scheduled_events': [], 'latest_onboarding_question_id': None, 'version': 1750004470449, 'premium_progress_bar_enabled': False, 'embedded_activities': [], 'member_count': 2, 'owner_id': '751700665054789664', 'verification_level': 0, 'features': [], 'unavailable': False, 'banner': None, 'splash': None, 'incidents_data': None}}
[2025-06-16 19:04:18] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-06-16 19:04:18] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'GUILD_MEMBERS_CHUNK', 's': 3, 'op': 0, 'd': {'nonce': '654ef3de043fd5349107269486dd92f1', 'members': [{'user': {'username': 'sleepyallover', 'public_flags': 0, 'primary_guild': None, 'id': '751700665054789664', 'global_name': 'sleepyallover', 'display_name': 'sleepyallover', 'discriminator': '0', 'collectibles': None, 'bot': False, 'avatar_decoration_data': None, 'avatar': '88940e81b630283f527d718ec9725496'}, 'roles': ['1383843892092211301'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-06-15T15:41:18.918000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, {'user': {'username': 'tanyafinwiz', 'public_flags': 0, 'primary_guild': None, 'id': '1383826608405614593', 'global_name': None, 'display_name': None, 'discriminator': '6952', 'collectibles': None, 'bot': True, 'avatar_decoration_data': None, 'avatar': None}, 'roles': ['1383834161923489836'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-06-15T15:42:54.674000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}], 'guild_id': '1383833760432132279', 'chunk_index': 0, 'chunk_count': 1}}
[2025-06-16 19:04:18] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-06-16 19:04:18] [DEBUG   ] discord.state: Processed a chunk for 2 members in guild ID 1383833760432132279.
[2025-06-16 19:04:20] [DEBUG   ] discord.client: Dispatching event guild_available
[2025-06-16 19:04:20] [DEBUG   ] discord.client: Dispatching event ready
[2025-06-16 19:04:29] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'MESSAGE_CREATE', 's': 4, 'op': 0, 'd': {'type': 0, 'tts': False, 'timestamp': '2025-06-16T12:04:29.685000+00:00', 'pinned': False, 'nonce': '1384141579287003136', 'mentions': [], 'mention_roles': [], 'mention_everyone': False, 'member': {'roles': ['1383843892092211301'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-06-15T15:41:18.918000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, 'id': '1384141583800205372', 'flags': 0, 'embeds': [], 'edited_timestamp': None, 'content': '!hello', 'components': [], 'channel_type': 0, 'channel_id': '1383833761094963202', 'author': {'username': 'sleepyallover', 'public_flags': 0, 'primary_guild': None, 'id': '751700665054789664', 'global_name': 'sleepyallover', 'discriminator': '0', 'collectibles': None, 'clan': None, 'avatar_decoration_data': None, 'avatar': '88940e81b630283f527d718ec9725496'}, 'attachments': [], 'guild_id': '1383833760432132279'}}
[2025-06-16 19:04:29] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-06-16 19:04:29] [DEBUG   ] discord.client: Dispatching event message
[2025-06-16 19:04:29] [DEBUG   ] discord.client: Dispatching event command
[2025-06-16 19:04:29] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'MESSAGE_CREATE', 's': 5, 'op': 0, 'd': {'type': 0, 'tts': False, 'timestamp': '2025-06-16T12:04:30.187000+00:00', 'pinned': False, 'nonce': '9227410775383834936', 'mentions': [{'username': 'sleepyallover', 'public_flags': 0, 'primary_guild': None, 'member': {'roles': ['1383843892092211301'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-06-15T15:41:18.918000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, 'id': '751700665054789664', 'global_name': 'sleepyallover', 'discriminator': '0', 'collectibles': None, 'clan': None, 'avatar_decoration_data': None, 'avatar': '88940e81b630283f527d718ec9725496'}], 'mention_roles': [], 'mention_everyone': False, 'member': {'roles': ['1383834161923489836'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-06-15T15:42:54.674000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, 'id': '1384141585905619036', 'flags': 0, 'embeds': [], 'edited_timestamp': None, 'content': 'Hello <@751700665054789664>!', 'components': [], 'channel_type': 0, 'channel_id': '1383833761094963202', 'author': {'username': 'tanyafinwiz', 'public_flags': 0, 'primary_guild': None, 'id': '1383826608405614593', 'global_name': None, 'discriminator': '6952', 'collectibles': None, 'clan': None, 'bot': True, 'avatar_decoration_data': None, 'avatar': None}, 'attachments': [], 'guild_id': '1383833760432132279'}}
[2025-06-16 19:04:29] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-06-16 19:04:29] [DEBUG   ] discord.client: Dispatching event message
[2025-06-16 19:04:29] [DEBUG   ] discord.http: POST https://discord.com/api/v10/channels/1383833761094963202/messages with {"content":"Hello <@751700665054789664>!","components":[],"nonce":"9227410775383834936","enforce_nonce":true,"tts":false} has returned 200
[2025-06-16 19:04:29] [DEBUG   ] discord.http: POST /channels/{channel_id}/messages has found its initial rate limit bucket hash (3df15bae86f6647dd4dfcbd5c6949480).
[2025-06-16 19:04:29] [DEBUG   ] discord.http: POST https://discord.com/api/v10/channels/1383833761094963202/messages has received {'type': 0, 'content': 'Hello <@751700665054789664>!', 'mentions': [{'id': '751700665054789664', 'username': 'sleepyallover', 'avatar': '88940e81b630283f527d718ec9725496', 'discriminator': '0', 'public_flags': 0, 'flags': 0, 'banner': None, 'accent_color': None, 'global_name': 'sleepyallover', 'avatar_decoration_data': None, 'collectibles': None, 'banner_color': None, 'clan': None, 'primary_guild': None}], 'mention_roles': [], 'attachments': [], 'embeds': [], 'timestamp': '2025-06-16T12:04:30.187000+00:00', 'edited_timestamp': None, 'flags': 0, 'components': [], 'id': '1384141585905619036', 'channel_id': '1383833761094963202', 'author': {'id': '1383826608405614593', 'username': 'tanyafinwiz', 'avatar': None, 'discriminator': '6952', 'public_flags': 0, 'flags': 0, 'bot': True, 'banner': None, 'accent_color': None, 'global_name': None, 'avatar_decoration_data': None, 'collectibles': None, 'banner_color': None, 'clan': None, 'primary_guild': None}, 'pinned': False, 'mention_everyone': False, 'tts': False, 'nonce': '9227410775383834936'}
[2025-06-16 19:04:29] [DEBUG   ] discord.client: Dispatching event command_completion
[2025-06-16 19:04:35] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'MESSAGE_CREATE', 's': 6, 'op': 0, 'd': {'type': 0, 'tts': False, 'timestamp': '2025-06-16T12:04:36.594000+00:00', 'pinned': False, 'nonce': '1384141608139620352', 'mentions': [], 'mention_roles': [], 'mention_everyone': False, 'member': {'roles': ['1383843892092211301'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-06-15T15:41:18.918000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, 'id': '1384141612778655764', 'flags': 0, 'embeds': [], 'edited_timestamp': None, 'content': "I'm thinking of investing in idx stocks, particularly BBRI and BBCA", 'components': [], 'channel_type': 0, 'channel_id': '1383833761094963202', 'author': {'username': 'sleepyallover', 'public_flags': 0, 'primary_guild': None, 'id': '751700665054789664', 'global_name': 'sleepyallover', 'discriminator': '0', 'collectibles': None, 'clan': None, 'avatar_decoration_data': None, 'avatar': '88940e81b630283f527d718ec9725496'}, 'attachments': [], 'guild_id': '1383833760432132279'}}
[2025-06-16 19:04:35] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-06-16 19:04:35] [DEBUG   ] discord.client: Dispatching event message
[2025-06-16 19:04:40] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'TYPING_START', 's': 7, 'op': 0, 'd': {'user_id': '751700665054789664', 'timestamp': 1750075481, 'member': {'user': {'username': 'sleepyallover', 'public_flags': 0, 'primary_guild': None, 'id': '751700665054789664', 'global_name': 'sleepyallover', 'display_name': 'sleepyallover', 'discriminator': '0', 'collectibles': None, 'bot': False, 'avatar_decoration_data': None, 'avatar': '88940e81b630283f527d718ec9725496'}, 'roles': ['1383843892092211301'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-06-15T15:41:18.918000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, 'channel_id': '1383833761094963202', 'guild_id': '1383833760432132279'}}
[2025-06-16 19:04:40] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-06-16 19:04:40] [DEBUG   ] discord.client: Dispatching event typing
[2025-06-16 19:04:40] [DEBUG   ] discord.client: Dispatching event raw_typing
[2025-06-16 19:04:44] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'MESSAGE_CREATE', 's': 8, 'op': 0, 'd': {'type': 0, 'tts': False, 'timestamp': '2025-06-16T12:04:45.410000+00:00', 'pinned': False, 'nonce': '1384141645418594304', 'mentions': [{'username': 'tanyafinwiz', 'public_flags': 0, 'primary_guild': None, 'member': {'roles': ['1383834161923489836'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-06-15T15:42:54.674000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, 'id': '1383826608405614593', 'global_name': None, 'discriminator': '6952', 'collectibles': None, 'clan': None, 'bot': True, 'avatar_decoration_data': None, 'avatar': None}], 'mention_roles': [], 'mention_everyone': False, 'member': {'roles': ['1383843892092211301'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-06-15T15:41:18.918000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, 'id': '1384141649755766785', 'flags': 0, 'embeds': [], 'edited_timestamp': None, 'content': "do you thing it's a good investment <@1383826608405614593>  ?", 'components': [], 'channel_type': 0, 'channel_id': '1383833761094963202', 'author': {'username': 'sleepyallover', 'public_flags': 0, 'primary_guild': None, 'id': '751700665054789664', 'global_name': 'sleepyallover', 'discriminator': '0', 'collectibles': None, 'clan': None, 'avatar_decoration_data': None, 'avatar': '88940e81b630283f527d718ec9725496'}, 'attachments': [], 'guild_id': '1383833760432132279'}}
[2025-06-16 19:04:44] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-06-16 19:04:44] [DEBUG   ] discord.client: Dispatching event message
